"Id","ID pojazdu","ID pasażera","Rola","Data urodzenia","Płeć","Uprawnienia do prowadzenia pojazdu","Liczba lat kierowania","Przyczyna wypadku","Kara","Pod wpływem","Obrażenia"
93044033,"1","1","Kierujący","1947-03-24","Mężczyzna","Posiada","39","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA
93044033,"2","1","Kierujący","1959-12-14","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
93095263,"1","1","Kierujący","1928-03-28","Mężczyzna","Nie wymagane",NA,"Jazda po niewłaściwej stronie drogi","Dochodzenie","Trzeźwy","Ranny lekko"
93095263,"2","1","Kierujący","1952-04-17","Mężczyzna","Posiada",NA,NA,NA,"Trzeźwy",NA
93098518,"1","1","Kierujący","1958-09-14","Mężczyzna","Posiada","31","Nieprawidłowe: wyprzedzanie","Dochodzenie","Alkoholu",NA
93098518,"2","1","Kierujący","1937-06-02","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Śmierć w ciągu 30 dni"
93230992,"1","1","Kierujący","1972-08-17","Kobieta","Posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA
93230992,"2","1","Kierujący","1960-05-14","Mężczyzna","Posiada",NA,NA,NA,"Trzeźwy","Ranny lekko"
93382811,"1","1","Kierujący","1955-10-03","Mężczyzna","Posiada","31","Nieprawidłowe: przejeżdżanie przejścia dla rowerów","Dochodzenie","Trzeźwy",NA
93382811,"2","1","Kierujący","1981-06-15","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko"
93523454,"1","1","Kierujący","1901-01-01","Nie ustalono","Nie wymagane",NA,"Nieprawidłowe: omijanie","Wniosek o ukaranie","Trzeźwy",NA
93523454,"2","1","Kierujący","1901-01-01","Mężczyzna","Posiada",NA,NA,NA,"Trzeźwy",NA
93527767,"1","1","Kierujący","1985-10-23","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Pouczenie","Trzeźwy",NA
93527767,"2","1","Kierujący","1984-08-26","Mężczyzna","Posiada",NA,NA,NA,"Trzeźwy",NA
93527880,"1","1","Kierujący","1980-05-12","Mężczyzna","Posiada","2","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA
93527880,"2","1","Kierujący","1952-06-09","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko"
93533313,"1","1","Kierujący","Nieustalona","Mężczyzna",NA,NA,"Jazda po niewłaściwej stronie drogi","Wniosek o ukaranie","Trzeźwy",NA
93533313,"2","1","Kierujący","1984-08-21","Mężczyzna","Posiada","9",NA,NA,"Trzeźwy",NA
93535694,"1","1","Kierujący","1942-03-26","Mężczyzna","Posiada","52","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA
93535694,"2","1","Kierujący","1994-03-29","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
93539571,"1","1","Kierujący","1954-03-22","Mężczyzna","Posiada","32","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA
93539571,"2","1","Kierujący","1962-06-25","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko"
93631796,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieudzielenie pierwszeństwa pieszemu","Dochodzenie","Trzeźwy",NA
93631978,"1","1","Kierujący","1984-03-19","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Alkoholu",NA
93631978,"2","1","Kierujący","1990-03-09","Mężczyzna","Posiada",NA,NA,NA,"Trzeźwy",NA
93775240,"1","1","Kierujący","1986-01-24","Mężczyzna","Posiada","5","Nieprawidłowe: cofanie","Mandat karny","Trzeźwy",NA
93775240,"2","1","Kierujący","1969-10-02","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
93918145,"1","1","Kierujący","1974-01-07","Mężczyzna","Posiada","8","Nieprawidłowe: skręcanie","Pouczenie","Trzeźwy",NA
93918145,"2","1","Kierujący","1982-06-07","Mężczyzna","Posiada","8",NA,NA,"Trzeźwy",NA
93935874,"1","1","Kierujący","1997-07-04","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Alkoholu",NA
93935874,"2","1","Kierujący","1944-03-24","Mężczyzna","Posiada","40",NA,NA,"Trzeźwy",NA
93936997,"1","1","Kierujący","1988-03-07","Mężczyzna","Nie wymagane",NA,NA,"Wniosek o ukaranie","Trzeźwy","Ranny lekko"
93936997,"2","1","Kierujący","1946-01-27","Mężczyzna","Posiada","47",NA,NA,"Trzeźwy",NA
93968963,"1","1","Kierujący","1963-06-08","Mężczyzna","Posiada","30","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA
93968963,"2","1","Kierujący","1971-09-18","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko"
93971066,"1","1","Kierujący","Nieustalona","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa pieszemu","Wniosek o ukaranie","Trzeźwy",NA
94065772,"1","1","Kierujący","1949-03-10","Mężczyzna","Posiada","45",NA,"Dochodzenie","Trzeźwy",NA
94065772,"2","1","Kierujący","1977-08-23","Kobieta","Posiada","19",NA,NA,"Trzeźwy","Ranny lekko"
94128832,"1","1","Kierujący","1999-12-19","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny organ","Trzeźwy",NA
94128832,"2","1","Kierujący","1984-08-16","Mężczyzna","Posiada","9",NA,NA,"Trzeźwy",NA
