"Id","ID pojazdu","ID pasażera","Rola","Data urodzenia","Płeć","Uprawnienia do prowadzenia pojazdu","Pod wpływem","Liczba lat kierowania","Przyczyna wypadku","Kara","Obrażenia"
95874101,"1","1","Kierujący","1901-01-01","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA
95874101,"2","1","Kierujący","1971-04-27","Kobieta","Posiada","Trzeźwy","9","Nieudzielenie pierwszeństwa przejazdu","Pouczenie",NA
95874825,"1","1","Kierujący","1974-11-13","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
95874825,"2","1","Kierujący","1975-04-18","Kobieta","Posiada","Trzeźwy","8","Nieprawidłowe: skręcanie","Dochodzenie",NA
95879987,"1","1","Kierujący","1956-04-05","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA
95879987,"2","1","Kierujący","1973-07-28","Mężczyzna","Posiada","Trzeźwy","12","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
95884076,"1","1","Kierujący","1953-09-23","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA
95884076,"2","1","Kierujący","1963-10-24","Mężczyzna","Posiada","Trzeźwy","29","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
95887946,"1","1","Kierujący","1967-10-18","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA
95887946,"2","1","Kierujący","1991-04-24","Kobieta","Posiada","Trzeźwy",NA,"Niezachowanie bezp. odl. między pojazdami","Mandat karny",NA
95887946,"3","1","Kierujący","1955-04-09","Mężczyzna","Posiada","Trzeźwy",NA,NA,NA,NA
95899945,"1","1","Kierujący","1980-06-19","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA
95899945,"2","1","Kierujący","1961-10-15","Kobieta","Posiada","Trzeźwy","10","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
95923943,"1","1","Kierujący","1978-01-09","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: zmienianie pasa ruchu","Dochodzenie","Ranny lekko"
95923943,"2","1","Kierujący","1991-08-09","Mężczyzna","Posiada","Trzeźwy","3",NA,NA,NA
95930066,"1","1","Kierujący","1995-03-20","Mężczyzna","Nie posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny organ",NA
95930066,"2","1","Kierujący","1988-03-02","Mężczyzna","Posiada","Trzeźwy","4",NA,NA,NA
95931966,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Nieprawidłowe: cofanie","Wniosek o ukaranie",NA
95931966,"2","1","Kierujący","1954-08-22","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA
95933153,"1","1","Kierujący","1953-07-02","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
95933153,"2","1","Kierujący","1967-08-18","Mężczyzna","Posiada","Trzeźwy","22","Nieprawidłowe: przejeżdżanie przejścia dla rowerów","Wniosek o ukaranie",NA
95938014,"1","1","Kierujący","1956-04-09","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA
95938014,"2","1","Kierujący","1949-04-16","Mężczyzna","Posiada","Trzeźwy","9","Nieprawidłowe: omijanie","Mandat karny",NA
95943071,"1","1","Kierujący","1972-10-17","Mężczyzna","Posiada","Trzeźwy","11",NA,NA,NA
