"Id","ID pojazdu","ID pasażera","Rola","Data urodzenia","Płeć","Uprawnienia do prowadzenia pojazdu","Liczba lat kierowania","Przyczyna wypadku","Kara","Pod wpływem","Obrażenia","Nieprawidłowe użycie"
97563743,"1","1","Kierujący","1978-12-09","Mężczyzna","Posiada","17","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA
97563743,"2","1","Kierujący","1947-01-01","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97564391,"1","1","Kierujący","1995-01-22","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97564391,"2","1","Kierujący","1949-08-24","Mężczyzna","Posiada","7",NA,NA,"Trzeźwy",NA,NA
97567700,"1","1","Kierujący","1988-01-06","Mężczyzna","Posiada","6","Nieudzielenie pierwszeństwa przejazdu","Pouczenie","Trzeźwy",NA,NA
97567700,"2","1","Kierujący","1996-05-11","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97583686,"1","1","Kierujący","1959-08-26","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Alkoholu","Śmierć w ciągu 30 dni",NA
97583686,"2","1","Kierujący","1985-01-14","Mężczyzna","Posiada","7",NA,NA,"Trzeźwy",NA,NA
97595429,"1","1","Kierujący","1985-10-24","Mężczyzna","Posiada","5","Nieprawidłowe: skręcanie","Dochodzenie","Trzeźwy",NA,NA
97595429,"2","1","Kierujący","1958-10-08","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97595453,"1","1","Kierujący","Nieustalona","Nie ustalono","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA
97595453,"2","1","Kierujący","1949-02-23","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97613371,"1","1","Kierujący","1992-02-01","Kobieta","Posiada","2","Niedostosowanie prędkości do warunków ruchu","Mandat karny","Trzeźwy",NA,NA
97613371,"2","1","Kierujący","1981-02-12","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97624136,"1","1","Kierujący","1974-08-28","Mężczyzna","Posiada","20","Nieprawidłowe: cofanie","Mandat karny","Trzeźwy",NA,NA
97624136,"2","1","Kierujący","1952-08-24","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97683711,"1","1","Kierujący","1950-04-17","Mężczyzna","Nie wymagane",NA,"Niezachowanie bezp. odl. między pojazdami","Wniosek o ukaranie","Trzeźwy",NA,NA
97683711,"2","1","Kierujący","1949-06-23","Mężczyzna","Posiada","13",NA,NA,"Trzeźwy",NA,NA
97686371,"1","1","Kierujący","1958-01-01","Mężczyzna","Nie wymagane",NA,"Jazda bez wymaganego oświetlenia","Wniosek o ukaranie","Alkoholu",NA,NA
97686371,"2","1","Kierujący","1961-09-24","Mężczyzna","Posiada","20",NA,NA,"Trzeźwy",NA,NA
97688103,"1","1","Kierujący","1984-09-08","Kobieta","Posiada","11","Nieprawidłowe: skręcanie","Dochodzenie","Trzeźwy",NA,NA
97688103,"2","1","Kierujący","1977-12-10","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97691899,"1","1","Kierujący","1966-01-26","Kobieta","Posiada","7",NA,"Mandat karny","Trzeźwy",NA,NA
97691899,"2","1","Kierujący","1953-12-24","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97692085,"1","1","Kierujący","1968-02-12","Mężczyzna","Posiada","28",NA,"Wniosek o ukaranie","Trzeźwy",NA,NA
97692085,"2","1","Kierujący","1978-12-16","Mężczyzna","Posiada","9",NA,NA,"Trzeźwy",NA,NA
97692551,"1","1","Kierujący","1982-08-11","Mężczyzna","Posiada","14",NA,NA,"Trzeźwy",NA,NA
97692551,"2","1","Kierujący","Nieustalona","Mężczyzna",NA,NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA
97694284,"1","1","Kierujący","1985-01-29","Kobieta","Posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA
97694284,"2","1","Kierujący","1994-06-19","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97694865,"1","1","Kierujący","1975-11-01","Mężczyzna","Posiada","18","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97694865,"2","1","Kierujący","1945-07-01","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97696887,"1","1","Kierujący","1999-05-06","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych","Dochodzenie","Trzeźwy",NA,NA
97696887,"2","1","Kierujący","1976-02-11","Mężczyzna","Posiada","18",NA,NA,"Trzeźwy",NA,NA
97698793,"1","1","Kierujący","1946-09-29","Mężczyzna","Posiada","33","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97698793,"2","1","Kierujący","1988-09-06","Mężczyzna","Posiada","7",NA,NA,"Trzeźwy",NA,NA
97705838,"1","1","Kierujący","1984-01-19","Mężczyzna","Posiada","8","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA
97705838,"2","1","Kierujący","1977-02-14","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97706386,"1","1","Kierujący","1956-05-24","Mężczyzna","Posiada","36","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA
97706386,"2","1","Kierujący","1985-02-25","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97714936,"1","1","Kierujący","1977-11-04","Mężczyzna","Posiada","1","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA
97714936,"2","1","Kierujący","1982-11-14","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97715216,"1","1","Kierujący","1947-08-20","Mężczyzna","Posiada","36","Nieprawidłowe: wyprzedzanie","Dochodzenie","Trzeźwy",NA,NA
97715216,"2","1","Kierujący","1956-03-01","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny ciężko",NA
97723790,"1","1","Kierujący","1967-02-25","Kobieta","Posiada","11","Nieprawidłowe: wyprzedzanie","Dochodzenie","Trzeźwy",NA,NA
97723790,"2","1","Kierujący","1977-09-23","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97724623,"1","1","Kierujący","1959-09-26","Mężczyzna","Posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA
97724623,"2","1","Kierujący","1964-07-27","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97725226,"1","1","Kierujący","1975-11-09","Mężczyzna","Posiada",NA,"Niedostosowanie prędkości do warunków ruchu","Dochodzenie","Trzeźwy","Ranny ciężko",NA
97725226,"2","1","Kierujący","1990-06-23","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny ciężko",NA
