"Id","ID pojazdu","ID pasażera","Rola","Data urodzenia","Płeć","Uprawnienia do prowadzenia pojazdu","Liczba lat kierowania","Przyczyna wypadku","Kara","Pod wpływem","Obrażenia","Nieprawidłowe użycie","...7","...10"
106650104,"1","1","Kierujący","1981-04-09","Mężczyzna","Posiada","2","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106650104,"2","1","Kierujący","1964-01-08","Mężczyzna",NA,NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106652613,"1","1","Kierujący","1977-06-29","Mężczyzna","Posiada","10","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106652613,"2","1","Kierujący","1939-03-03","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106654015,"1","1","Kierujący","1979-10-22","Mężczyzna","Posiada","1","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106654015,"2","1","Kierujący","1986-05-21","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny ciężko",NA,NA,NA
106656384,"1","1","Kierujący","1980-09-10","Mężczyzna","Posiada","15","Nieprawidłowe przejeżdżanie przejazdu dla rowerzystów","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106656384,"2","1","Kierujący","1974-09-29","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106657793,"1","1","Kierujący","1962-01-26","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106657793,"2","1","Kierujący","1977-06-07","Mężczyzna","Posiada","18","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106659618,"1","1","Kierujący","1963-04-18","Mężczyzna","Posiada","34","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106659618,"2","1","Kierujący","1959-07-29","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
