"Id","ID pojazdu","ID pasażera","Rola","Data urodzenia","Płeć","Uprawnienia do prowadzenia pojazdu","Pod wpływem","Liczba lat kierowania","Przyczyna wypadku","Kara","Obrażenia","Nieprawidłowe użycie"
108529741,"1","1","Kierujący","1976-06-18","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108529741,"2","1","Kierujący","1955-05-13","Mężczyzna","Posiada","Trzeźwy","42","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108530259,"1","1","Kierujący","1946-07-13","Mężczyzna","Posiada","Trzeźwy","53",NA,NA,NA,NA
108530259,"2","1","Kierujący","1949-04-21","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Ranny ciężko",NA
108530341,"1","1","Kierujący","1957-02-23","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA
108530341,"2","1","Kierujący","1971-10-24","Kobieta","Posiada","Trzeźwy","20","Nieprawidłowe przejeżdżanie przejazdu dla rowerzystów","Wniosek o ukaranie",NA,NA
108530576,"1","1","Kierujący","1980-03-20","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA
108530576,"2","1","Kierujący","1943-08-31","Kobieta","Posiada","Trzeźwy","41","Nieprawidłowe przejeżdżanie przejazdu dla rowerzystów","Dochodzenie",NA,NA
108530674,"1","1","Kierujący","1986-11-13","Mężczyzna","Posiada","Trzeźwy","12",NA,NA,NA,NA
108530674,"2","1","Kierujący","1967-06-26","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108539965,"1","1","Kierujący","1992-04-16","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108539965,"2","1","Kierujący","1976-02-15","Kobieta","Posiada","Trzeźwy","21","Nieprawidłowe: Zawracanie","Wniosek o ukaranie",NA,NA
108545440,"1","1","Kierujący","1950-01-02","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108545440,"2","1","Kierujący","1970-08-14","Mężczyzna","Posiada","Trzeźwy","24","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108547621,"1","1","Kierujący","1966-04-02","Mężczyzna","Posiada","Trzeźwy","14",NA,NA,NA,NA
108547621,"2","1","Kierujący","1985-03-28","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108547797,"1","1","Kierujący","1955-07-30","Mężczyzna","Posiada","Trzeźwy","47",NA,NA,NA,NA
108547797,"2","1","Kierujący","1933-05-11","Mężczyzna","Posiada","Trzeźwy","63","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108550340,"1","1","Kierujący","1978-07-07","Kobieta","Posiada","Trzeźwy","23",NA,NA,NA,NA
108550340,"2","1","Kierujący","2004-09-08","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny sposób zakończenia",NA,NA
108552216,"1","1","Kierujący","1986-01-31","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108552216,"2","1","Kierujący","1959-02-09","Kobieta","Posiada","Trzeźwy","32","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie",NA,NA
108555567,"1","1","Kierujący","1989-07-04","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108558742,"1","1","Kierujący","1968-03-09","Mężczyzna","Posiada","Trzeźwy","25",NA,NA,NA,NA
108558742,"2","1","Kierujący","1975-11-17","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieprzestrzeganie innych sygnałów","Mandat karny",NA,NA
108561493,"1","1","Kierujący","1975-09-07","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108561493,"2","1","Kierujący","1960-09-04","Mężczyzna","Posiada","Trzeźwy","42","Inne przyczyny","Mandat karny",NA,NA
108566089,"1","1","Kierujący","1990-01-15","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108566089,"2","1","Kierujący","1967-08-17","Mężczyzna","Posiada","Trzeźwy","29","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108569611,"1","1","Kierujący","1991-09-05","Kobieta","Nie wymagane","Trzeźwy",NA,"Inne przyczyny","Mandat karny",NA,NA
108569611,"2","1","Kierujący","1975-11-02","Mężczyzna","Posiada","Trzeźwy","26","Inne przyczyny","Mandat karny",NA,NA
108572522,"1","1","Kierujący","1960-11-25","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny ciężko",NA
108572522,"2","1","Kierujący","1985-09-24","Kobieta","Posiada","Trzeźwy","10","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA,NA
108575781,"1","1","Kierujący","Nieustalona","Mężczyzna",NA,"Trzeźwy",NA,NA,NA,NA,NA
