"Id","ID pojazdu","ID pasażera","Rola","Data urodzenia","Płeć","Uprawnienia do prowadzenia pojazdu","Pod wpływem","Liczba lat kierowania","Przyczyna wypadku","Kara","Obrażenia","...11","Nieprawidłowe użycie"
109711199,"1","1","Kierujący","1947-01-07","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA,NA
109711199,"2","1","Kierujący","1959-01-01","Mężczyzna","Posiada","Trzeźwy","42","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA,NA
109712316,"1","1","Kierujący","1960-02-25","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA,NA
109712316,"2","1","Kierujący","1965-06-09","Mężczyzna","Posiada","Trzeźwy","15","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA,NA
109727288,"1","1","Kierujący","1942-09-19","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA,NA
109727288,"2","1","Kierujący","1965-07-27","Kobieta","Posiada","Trzeźwy","33","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA,NA
109750140,"1","1","Kierujący","2007-03-26","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA,NA
109750140,"2","1","Kierujący","Nieustalona","Mężczyzna",NA,"Trzeźwy",NA,"Nieprawidłowe: cofanie","Dochodzenie",NA,NA,NA
109794896,"1","1","Kierujący","1946-03-24","Mężczyzna","Posiada","Trzeźwy","56",NA,NA,NA,NA,NA
109794896,"2","1","Kierujący","1974-11-05","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: skręcanie","Mandat karny",NA,NA,NA
109812228,"1","1","Kierujący","1984-08-17","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny ciężko",NA,NA
109812228,"2","1","Kierujący","1948-07-26","Mężczyzna","Posiada","Trzeźwy","51","Nieprawidłowe: wymijanie","Dochodzenie",NA,NA,NA
109831171,"1","1","Kierujący","1977-07-28","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA,NA
109831171,"2","1","Kierujący","1950-12-08","Mężczyzna","Posiada","Trzeźwy","42","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA,NA,NA
109832795,"1","1","Kierujący","1959-09-10","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny ciężko",NA,NA
109832795,"2","1","Kierujący","1975-05-27","Mężczyzna","Posiada","Trzeźwy","22","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA,NA,NA
109834407,"1","1","Kierujący","1958-02-24","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA,NA
109834407,"2","1","Kierujący","1957-08-31","Mężczyzna","Posiada","Trzeźwy","40","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA,NA
109838221,"1","1","Kierujący","1943-09-04","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: skręcanie","Mandat karny",NA,NA,NA
109838221,"2","1","Kierujący","1994-04-16","Mężczyzna","Posiada","Trzeźwy","8",NA,NA,NA,NA,NA
109841348,"1","1","Kierujący","1971-07-02","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA,NA
109841348,"2","1","Kierujący","1991-07-14","Mężczyzna","Posiada","Trzeźwy","1","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA,NA,NA
109872527,"1","1","Kierujący","1971-06-12","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA,NA
109872527,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny sposób zakończenia",NA,NA,NA
109882724,"1","1","Kierujący","1969-06-07","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA,NA
109882724,"2","1","Kierujący","1978-07-13","Kobieta","Posiada","Trzeźwy","13","Nieprawidłowe przejeżdżanie przejazdu dla rowerzystów","Mandat karny",NA,NA,NA
109884265,"1","1","Kierujący","1958-08-01","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny ciężko",NA,NA
109884265,"2","1","Kierujący","1968-02-21","Mężczyzna","Posiada","Trzeźwy","26","Nieprawidłowe: wyprzedzanie","Dochodzenie",NA,NA,NA
109945729,"1","1","Kierujący","1998-03-03","Kobieta","Posiada","Trzeźwy","4",NA,NA,NA,NA,NA
109945729,"2","1","Kierujący","1999-12-28","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA,NA
109954502,"1","1","Kierujący","1969-10-10","Mężczyzna","Posiada","Trzeźwy","34",NA,NA,NA,NA,NA
109954502,"2","1","Kierujący","1975-03-07","Mężczyzna","Nie posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny sposób zakończenia",NA,NA,NA
109955328,"1","1","Kierujący","1995-06-02","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA,NA
