"Id","ID.pojazdu","Typ","Marka","Usterki","Cechy.szczególne"
93044033,1,"Samochód osobowy",NA,NA,NA
93044033,2,"Rower",NA,NA,NA
93095263,1,"Rower",NA,NA,NA
93095263,2,"Samochód osobowy",NA,NA,NA
93098518,1,"Samochód osobowy",NA,NA,NA
93098518,2,"Rower",NA,NA,NA
93230992,1,"Samochód osobowy",NA,NA,NA
93230992,2,"Rower",NA,NA,NA
93382811,1,"Samochód osobowy",NA,NA,NA
93382811,2,"Rower",NA,NA,NA
93523454,1,"Rower",NA,NA,NA
93523454,2,"Samochód osobowy",NA,NA,NA
93527767,1,"Rower",NA,NA,NA
93527767,2,"Samochód osobowy",NA,NA,NA
93527880,1,"Samochód osobowy",NA,NA,NA
93527880,2,"Rower",NA,NA,NA
93533313,1,"Rower",NA,NA,NA
93533313,2,"Samochód osobowy",NA,NA,NA
93535694,1,"Samochód osobowy",NA,NA,NA
93535694,2,"Rower",NA,NA,NA
93539571,1,"Autobus komunikacji publicznej",NA,NA,NA
93539571,2,"Rower",NA,NA,NA
93631796,1,"Rower",NA,NA,NA
93631978,1,"Rower",NA,NA,NA
93631978,2,"Samochód osobowy",NA,NA,NA
93775240,1,"Samochód osobowy",NA,NA,NA
93775240,2,"Rower",NA,NA,NA
93918145,1,"Rower",NA,NA,NA
93918145,2,"Samochód osobowy",NA,NA,NA
93935874,1,"Rower",NA,NA,NA
93935874,2,"Samochód osobowy",NA,NA,NA
93936997,1,"Rower",NA,NA,NA
93936997,2,"Samochód osobowy",NA,NA,NA
93968963,1,"Samochód osobowy",NA,NA,NA
93968963,2,"Rower",NA,NA,NA
93971066,1,"Rower",NA,NA,NA
94065772,1,"Samochód osobowy",NA,NA,NA
94065772,2,"Rower",NA,NA,NA
94128832,1,"Rower",NA,NA,NA
94128832,2,"Samochód osobowy",NA,NA,NA
94128863,1,"Rower",NA,NA,NA
94128863,2,"Samochód osobowy",NA,NA,NA
94140042,1,"Rower",NA,NA,NA
94140042,2,"Samochód osobowy",NA,NA,NA
94153017,1,"Samochód osobowy",NA,NA,NA
94153017,2,"Rower",NA,NA,NA
94165725,1,"Rower",NA,NA,NA
94165725,2,"Samochód osobowy",NA,NA,NA
94179855,1,"Rower",NA,NA,NA
94190811,1,"Samochód osobowy",NA,NA,NA
94190811,2,"Rower",NA,NA,NA
94191253,1,"Rower",NA,NA,NA
94191744,1,"Samochód osobowy",NA,NA,NA
94191744,2,"Rower",NA,NA,NA
94192609,1,"Samochód osobowy",NA,NA,NA
94192609,2,"Rower",NA,NA,NA
94195370,1,"Rower",NA,NA,NA
94195370,2,"Samochód osobowy",NA,NA,NA
94212299,1,"Rower",NA,NA,NA
94212299,2,"Samochód osobowy",NA,NA,NA
94316972,1,"Rower",NA,NA,NA
94316972,2,"Rower",NA,NA,NA
94317771,1,"Rower",NA,NA,NA
94317771,2,"Samochód osobowy",NA,NA,NA
94317891,1,"Samochód osobowy",NA,NA,NA
94317891,2,"Rower",NA,NA,NA
94318279,1,"Rower",NA,NA,NA
94318279,2,"Samochód osobowy",NA,NA,NA
94319153,1,"Rower",NA,NA,NA
94319153,2,"Samochód osobowy",NA,NA,NA
94319482,1,"Rower",NA,NA,NA
94319482,2,"Samochód osobowy",NA,NA,NA
94320173,1,"Rower",NA,NA,NA
94320173,2,"Samochód osobowy",NA,NA,NA
94321108,1,"Samochód osobowy",NA,NA,NA
94321108,2,"Rower",NA,NA,NA
94328865,1,"Samochód osobowy",NA,NA,NA
94328865,2,"Rower",NA,NA,NA
94329892,1,"Rower",NA,NA,NA
94329892,2,"Samochód osobowy",NA,NA,NA
94330333,1,"Rower",NA,NA,NA
94332183,1,"Samochód osobowy",NA,NA,NA
94332183,2,"Rower",NA,NA,NA
94332673,1,"Samochód osobowy",NA,NA,NA
94332673,2,"Rower",NA,NA,NA
94333814,1,"Rower",NA,NA,NA
94333814,2,"Samochód osobowy",NA,NA,NA
94335072,1,"Rower",NA,NA,NA
94335072,2,"Samochód osobowy",NA,NA,NA
94335115,1,"Rower",NA,NA,NA
94335309,1,"Samochód osobowy",NA,NA,NA
94335309,2,"Rower",NA,NA,NA
94335603,1,"Rower",NA,NA,NA
94335603,2,"Samochód osobowy",NA,NA,NA
94335808,1,"Rower",NA,NA,NA
94335808,2,"Samochód osobowy",NA,NA,NA
94336414,1,"Samochód osobowy",NA,NA,NA
94336414,2,"Rower",NA,NA,NA
94339650,1,"Rower",NA,NA,NA
94339650,2,"Samochód osobowy",NA,NA,NA
94339830,1,"Rower",NA,NA,NA
94339830,2,"Samochód osobowy",NA,NA,NA
94342072,1,"Rower",NA,NA,NA
94342072,2,"Samochód osobowy",NA,NA,NA
94342799,1,"Rower",NA,NA,NA
94342799,2,"Motocykl inny",NA,NA,NA
94343220,1,"Rower",NA,NA,NA
94343220,2,"Samochód osobowy",NA,NA,NA
94343745,1,"Rower",NA,NA,NA
94344992,1,"Rower",NA,NA,NA
94345753,1,"Samochód osobowy",NA,NA,NA
94345753,2,"Rower",NA,NA,NA
94350135,1,"Pojazd nieustalony",NA,NA,NA
94350135,2,"Rower",NA,NA,NA
94351309,1,"Samochód osobowy",NA,NA,NA
94351309,2,"Rower",NA,NA,NA
94351491,1,"Rower",NA,NA,NA
94351491,2,"Samochód osobowy",NA,NA,NA
94351882,1,"Rower",NA,NA,NA
94351882,2,"Samochód osobowy",NA,NA,NA
94352114,1,"Rower",NA,NA,NA
94352114,2,"Samochód osobowy",NA,NA,NA
94354354,1,"Rower",NA,NA,NA
94354354,2,"Samochód osobowy",NA,NA,NA
94354569,1,"Samochód osobowy",NA,NA,NA
94354569,2,"Rower",NA,NA,NA
94354601,1,"Samochód osobowy",NA,NA,NA
94354601,2,"Rower",NA,NA,NA
94354811,1,"Samochód osobowy",NA,NA,NA
94354811,2,"Rower",NA,NA,NA
94355325,1,"Rower",NA,NA,NA
94355325,2,"Samochód osobowy",NA,NA,NA
94355976,1,"Rower",NA,NA,NA
94356885,1,"Samochód osobowy",NA,NA,NA
94356885,2,"Samochód osobowy",NA,NA,NA
94356885,3,"Rower",NA,NA,NA
94357507,1,"Rower",NA,NA,NA
94357507,2,"Samochód osobowy",NA,NA,NA
94357927,1,"Rower",NA,NA,NA
94357927,2,"Samochód osobowy",NA,NA,NA
94358048,1,"Samochód osobowy",NA,NA,NA
94358048,2,"Rower",NA,NA,NA
94364966,1,"Rower",NA,NA,NA
94364966,2,"Samochód osobowy",NA,NA,NA
94365844,1,"Pojazd nieustalony",NA,NA,NA
94365844,2,"Rower",NA,NA,NA
94366886,1,"Samochód osobowy",NA,NA,NA
94366886,2,"Rower",NA,NA,NA
94368388,1,"Samochód osobowy",NA,NA,NA
94368388,2,"Rower",NA,NA,NA
94368938,1,"Samochód osobowy",NA,NA,NA
94368938,2,"Rower",NA,NA,NA
94368965,1,"Rower",NA,NA,NA
94368965,2,"Rower",NA,NA,NA
94369278,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
94369278,2,"Rower",NA,NA,NA
94369641,1,"Samochód osobowy",NA,NA,NA
94369641,2,"Rower",NA,NA,NA
94370275,1,"Samochód osobowy",NA,NA,NA
94370275,2,"Rower",NA,NA,NA
94370471,1,"Rower",NA,NA,NA
94370471,2,"Rower",NA,NA,NA
94370707,1,"Samochód osobowy",NA,NA,NA
94370707,2,"Rower",NA,NA,NA
94371046,1,"Rower",NA,NA,NA
94371046,2,"Samochód osobowy",NA,NA,NA
94373172,1,"Rower",NA,NA,NA
94373221,1,"Rower",NA,NA,NA
94373221,2,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
94373333,1,"Rower",NA,NA,NA
94373333,2,"Samochód osobowy",NA,NA,NA
94373982,1,"Rower",NA,NA,NA
94373993,1,"Rower",NA,NA,NA
94373993,2,"Samochód osobowy",NA,NA,NA
94374018,1,"Rower",NA,NA,NA
94374018,2,"Samochód osobowy",NA,NA,NA
94381572,1,"Pojazd nieustalony",NA,NA,NA
94381572,2,"Rower",NA,NA,NA
94382600,1,"Rower",NA,NA,NA
