"Id","ID.pojazdu","Typ","Marka","Usterki","Cechy.szczególne"
109711199,1,"Rower",NA,NA,NA
109711199,2,"Samochód osobowy",NA,NA,NA
109712316,1,"Rower",NA,NA,NA
109712316,2,"Samochód osobowy",NA,NA,NA
109727288,1,"Rower",NA,NA,NA
109727288,2,"Samochód osobowy",NA,NA,NA
109750140,1,"Rower",NA,NA,NA
109750140,2,"Samochód osobowy",NA,NA,NA
109794896,1,"Samochód osobowy",NA,NA,NA
109794896,2,"Rower",NA,NA,NA
109812228,1,"Rower",NA,NA,NA
109812228,2,"Samochód osobowy",NA,NA,NA
109831171,1,"Rower",NA,NA,NA
109831171,2,"Samochód osobowy",NA,NA,NA
109832795,1,"Rower",NA,NA,NA
109832795,2,"Samochód osobowy",NA,NA,NA
109834407,1,"Rower",NA,NA,NA
109834407,2,"Samochód osobowy",NA,NA,NA
109838221,1,"Rower",NA,NA,NA
109838221,2,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
109841348,1,"Rower",NA,NA,NA
109841348,2,"Samochód osobowy",NA,NA,NA
109872527,1,"Rower",NA,NA,NA
109872527,2,"Pojazd nieustalony",NA,NA,NA
109882724,1,"Rower",NA,NA,NA
109882724,2,"Samochód osobowy",NA,NA,NA
109884265,1,"Rower",NA,NA,NA
109884265,2,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
109945729,1,"Samochód osobowy",NA,NA,NA
109945729,2,"Rower",NA,NA,NA
109954502,1,"Rower",NA,NA,NA
109954502,2,"Samochód osobowy",NA,NA,NA
109955328,1,"Rower",NA,NA,NA
109955328,2,"Samochód osobowy",NA,NA,NA
109955418,1,"Rower",NA,NA,NA
109955418,2,"Samochód osobowy",NA,NA,NA
109956904,1,"Samochód osobowy",NA,NA,NA
109956904,2,"Rower",NA,NA,NA
109957241,1,"Rower",NA,NA,NA
109957241,2,"Samochód osobowy",NA,NA,NA
109957330,1,"Rower",NA,NA,NA
109957330,2,"Samochód osobowy",NA,NA,NA
109957413,1,"Rower",NA,NA,NA
109957413,2,"Samochód osobowy",NA,NA,NA
109959558,1,"Rower",NA,NA,NA
109959558,2,"Samochód osobowy",NA,NA,NA
109968870,1,"Samochód osobowy",NA,NA,NA
109968870,2,"Rower",NA,NA,NA
109969065,1,"Rower",NA,NA,NA
109969476,1,"Rower",NA,NA,NA
109969476,2,"Samochód osobowy",NA,NA,NA
109969802,1,"Samochód osobowy",NA,NA,NA
109969802,2,"Rower",NA,NA,NA
109969863,1,"Rower",NA,NA,NA
109971359,1,"Rower",NA,NA,NA
109971359,2,"Samochód osobowy",NA,NA,NA
109971853,1,"Rower",NA,NA,NA
109971853,2,"Samochód osobowy",NA,NA,NA
109974230,1,"Rower",NA,NA,NA
109974230,2,"Samochód osobowy",NA,NA,NA
109975030,1,"Rower",NA,NA,NA
